ID	§	Область	Задача	Разм.	Состояние	Блокер	Источник	Заметка
PBR-10	ф8	PBR	HDR lightmap: перезапекание в q3map2 с -hdr либо RGBM	L	открыто	PBR-02	роадмап §9	3-5 нед
SHD-08	ф8	Тени	Point shadows (cube, 9-точечный Poisson)	L	открыто	SHD-05	роадмап §7	Опционально
WLD-06	ф9	Мир	GPU culling: compute + indirect + HiZ two-phase	XL	открыто	WLD-01,WLD-02	роадмап §9	ПОСЛЕДНИМ: в SP культинг сейчас не главный потребитель CPU. Перекрывается с WLD-01/02 - при планировании свести
PHY-04	ф9	Физика	Jolt: рэгдоллы Ghoul2 на Ragdoll/SkeletonPose	XL	открыто	PHY-06,PHY-07	решение 19.08	Библиотека выбрана: MIT, рэгдолл первого класса. Сначала JOB-03 - без расшивки статик переносить нечего
PHY-05	ф9	Физика	Jolt: физические пропы, мир реагирует на Силу и взрывы	XL	открыто	PHY-04	решение 19.08	ЗАЯВКА: настоящая физика в игре, а не только рэгдолл. Толчок Силы сегодня - скриптовое перемещение
PHY-06	ф9	Физика	Версионировать формат сейва ДО появления физических тел	M	открыто		решение 19.08	gentity_t сериализуется сырым дампом. Позиция/скорость/сон обязаны пережить round-trip, иначе после загрузки пропы осыпятся на пол
PHY-07	ф9	Физика	Мир в Jolt: браши -> выпуклые оболочки, патчи -> меш	M	открыто		решение 19.08	Браш ПО ОПРЕДЕЛЕНИЮ выпуклое тело - конвертация почти бесплатна. Это и был довод за Jolt
PHY-08	ф9	Физика	Владение: ровно один владелец на объект	M	открыто	PHY-05	решение 19.08	Jolt владеет только объявленными физическими сущностями; игрок, платформы и всё под ICARUS остаются за CM_*/pmove. Два владельца - это дефект, а не компромисс
PHY-09	ф9	Физика	Физика под cvar и явное включение по сущности	S	открыто	PHY-05	решение 19.08	Иначе ломаются сцены ICARUS, которые рассчитывают, что предмет останется там, где его поставили
ARC-01	-	Архитектура	Держать границу render/ и game/ после снятия DLL-границы	M	открыто		роадмап §2	ghoul2_shared.h (811 строк) лежит внутри code/game; G2_bones.cpp зовёт ri.SV_Trace; cgame хранит saberTrail_t внутри playerState_t
UI-11	1.3.1	UI	Косметические настройки из консоли в меню: холстеры, твирл, idle-анимации, регенерация Силы	S	открыто	UI-04	JAEnhanced §8.1	g_flippedHolsters, g_noIgniteTwirl, g_useIdleAnims, g_forceRegenTime, цвета персонажа и рукояти - всё живое и доступно только из консоли
UI-12	1.2	UI	Белый экран во время загрузки при работе с полосами	S	открыто		JAEnhanced §8.1	У них есть строка changelog «Fixed white screen during load with aforementioned black bar removal». Место склизкое; проверить наш SCR_FillFrameMargins на переходе в загрузку
